100
1 2  12
1 3  -5
1 4  8
1 5  10
2 6  7
2 7  -3
3 8  4
3 9  -2
4 10 9
4 11 -1
5 12 11
5 13 -4
6 14 5
6 15 -6
7 16 2
7 17 8
8 18 -7
8 19 3
9 20 6
9 21 -8
10 22 10
10 23 -5
11 24 7
11 25 -3
12 26 12
12 27 -2
13 28 4
13 29 -9
14 30 6
14 31 -7
15 32 8
15 33 -1
16 34 5
16 35 -4
17 36 11
17 37 -6
18 38 3
18 39 9
19 40 -2
19 41 7
20 42 10
20 43 -3
21 44 5
21 45 -8
22 46 6
22 47 -5
23 48 7
23 49 -2
24 50 8
24 51 -9
25 52 12
25 53 -1
26 54 4
26 55 -6
27 56 3
27 57 10
28 58 -5
28 59 6
29 60 8
29 61 -2
30 62 9
30 63 -7
31 64 12
31 65 -3
32 66 4
32 67 7
33 68 -6
33 69 2
34 70 11
34 71 -8
35 72 5
35 73 -4
36 74 6
36 75 -1
37 76 9
37 77 -2
38 78 8
38 79 -7
39 80 4
39 81 10
40 82 -3
40 83 12
41 84 5
41 85 -6
42 86 9
42 87 -8
43 88 7
43 89 -4
44 90 11
44 91 -2
45 92 6
45 93 -3
46 94 8
46 95 -7
47 96 12
47 97 -1
48 98 5
48 99 -9
49 100 10
50 1 -4
51 2 7
52 3 -3
53 4 6
54 5 -2
55 6 8
56 7 -1
57 8 9
58 9 -6
59 10 3
60 11 12
61 12 -4
62 13 5
63 14 -7
64 15 2
65 16 10
66 17 -3
67 18 6
68 19 -8
69 20 11
70 21 -2
71 22 7
72 23 -5
73 24 9
74 25 -6
75 26 4
76 27 12
77 28 -1
78 29 8
79 30 -2
80 31 5
81 32 -3
82 33 7
83 34 -6
84 35 10
85 36 -4
86 37 9
87 38 -5
88 39 12
89 40 -2
90 41 6
91 42 -7
92 43 3
93 44 11
94 45 -6
95 46 4
96 47 -3
97 48 8
98 49 -9
99 50 7
100 1 6
